ကနေဒီယန်	canadian
ကနေဒီယမ်	canadian
ကဖေး	cafe
ကယ်လီဖိုးနီးယား	california
ကလိုရိုဖီးလ်	chlorophyll
ကလိုရင်း	chlorine
ကီလိုမီတာ	kilometre
ကီလိုဝပ်	kilowatt
ကော်နက်ရှင်	connection
ကော်ပါး	copper
ကော်ပီ	copy
ကော်ပိုရေးရှင်း	corporation
ကော်ပရေးရှင်း	corporation
ကော်မတီ	committee
ကော်မရှင်	commission
ကိုကာကိုလာ	coca cola
ကိုကင်း	cocaine
ပရိုတိုကော	protocol
ကိုရီးယန်း	korean
ကိုရီးယမ်း	korean
ကိုလိုရာဒို	colorado
ကိုလမ်ဘီရာ	columbia
ကိုလမ်ဘတ်စ်	columbus
ကိုသြဒီနိတ်	coordinate
ကို အော်ပရေးရှင်း	co operation
ကင်ဆာ	cancer
ကင်းစ်ဝေး	kingsway
ကောင်ဆယ်	council
ကောင်တာ	counter
ကာစီနို	casino
ကေစ်	case
ကတ်သလစ်	catholic
ကိုလိုနီ	colony
ကမ်းဘရစ်ခ်ျ	cambridge
ကမ်းဘရိတ်ခ်ျ	cambridge
ကုမ္ပဏီ	company
ကယ်လိုရီ	calory
ကျူတာ	tutor
ပါတီ	party
ဗွီဒီယို	video
စတိုး	store
အင်ဂျင်	engine
အင်ဂျင်နီယာ	engineer
ကွင်းစလင်းန်	queensland
ကွင်းစလန်းဒ်	queensland
ကွန်စထရက်ရှင်	construction
ကွန်ဆူးမား	consumer
ကွန်ဆိုလစ်ဒိတ်	consolidate
ကွန်ဆိုး	console
ကွန်ထရိုဗာဆယ်	controversy
ကွန်ထရိုလာ	controller
ကွန်ထရိုး	control
ကွန်နက်	connect
ကွန်ပျူတာ	computer
ကွန်ပျူတာ ဖိုရမ်	computer forum
ကွန်ပျူးတင်း	computing
ကွန်ဗားဆေးရှင်း	conversation
ကွန်မန်ဒို စတိုင်	commando style
ကွန်မန်ဒို	commando
ကွန်မန်း	command
ကွန့်မန့်	comment
ခရက်ဒစ် ကတ်	credit card
ခရောင်း	crown
ခရစ်စတီးနား	cristina
ခရစ်စမတ်	christmas
ခရုမ်း	chrome
ချီကာဂို	chicago
စလိုဗက်ကီယား	slovakian
ချန်ပီယံ	champion
ဂဇက် တိုင်းမ်စ်	kazakh times
ဂရေစ့်	grace
ဂရမ်တီ	guarantee
ဂရပ်ဗတီ	gravity
ဂရုဖ်	group
ဂရမ်းမားသား	granmother
ဂရမ်းဖားသား	grandfather
မားသား	mother
ဖားသား	father
ဘရားသား	brother
စစ်စတာ	sister
ဂလိုက်ဒါ	glider
ဂလက်ဆီ	glaxy
ဂလူးကို့စ်	glucose
ဂါးဒင်း	garden
ဂူဂဲ	google
ဂေါ်ဒန်ဘရောင်း	gordon brown
ဂွတ်ဘိုင်	goodbye
ဂတ်စ်	gas
ဂေါဖ့်	golf
ဂိမ်း	game
ဂျာမန်	german
ဂျာမနီ	germany
ဂျီအိုဂရပ်ဖီ	geography
ဘိုင်အိုလော်ဂျီ	biology
ဂျီးနီးယပ်စ်	genius
ဂျုတီ	duty
ဂျုလိုင်	july
ဂျွန်	june
ဩဂတ်စ်	august
စက်တင်ဘာ	se
အောက်တိုဘာ	october
နိုဝင်ဘာ	november
ဒီဇင်ဘာ	december
ဇန်နဝါရီ	january
ဖေဖော်ဝါရီ	february
မတ်	march
ဧပရာယ်	april
မေ	may
ဂျူးလီးယက်	julius
ကလင်ဒါ	calendar
ဂျေ ဒိုးနပ်စ်	j donus
ဂျော်ကာ	joker
ဂျက်ဆီကာ	jessica
အိုဗာ စတား	over star
ဂျင်း	jean
စကော့တလန်	scotland
စကိုင်းနက်	skynet
စကိုင်းဝမ်း	sky one
စကိုင်းစ်	sky
စကန်နာ	scanner
စတား တယ်လီဂရမ်	star telegram
စတီးလ်	steel
စတူဒီယို	studio
ဒစ်ဂျစ်တယ်	digital
စတေ့	stage
စတေးတပ်	status
စတော့ပ်	stop
စတော်ဘယ်ရီ	strawberry
စတိုရီ	story
စပွန်ဆာ	sponsor
မီဒီယာ	media
ဆာဗာ	server
တေဘယ်	table
စီလီကွန်	silicon
စီးတီး	city
ဘဏ်	bank
ဟော	hall
စူပါ	super
ကား	car
စူပါ စတား	super star
စူပါ ပါဝါ	super power
စူမတြား	sumatra
စက္ကန့်	second
ဇုံ	zone
ဟက်ကာ	hacker
ဂစ်တာ	guiter
စန်ထရယ်	central
ဆော်လမွန်	solomon
ဆာကူရာ	sakura
ဒေါက်တာ	doctor
ဆာဗီးယား	serbia
ဆာဗီးရား	serbia
ဆိုမာလီ	somali
